id,Texture_sol,Couleur_sol,Type_irrigation,Hauteur_Eau,Niveau_Engrais,Temperature_Actuelle,Densite_Tilapia_Are
630,Limoneux,Noiratre (Rich),Irrigue (Continu),19,Fort (Zezika + NPK),humide,50
631,Limoneux,Orange / Rouge,Pluvial,7,Fort (Zezika + NPK),humide,21
632,Sableux,Noiratre (Rich),Pluvial,13,Fort (Zezika + NPK),froid,26
633,Argileux (Madity),Noiratre (Rich),Pluvial,11,Moyen (Zezika Omby),humide,29
634,Argileux (Madity),Orange / Rouge,Irrigue (Continu),13,Fort (Zezika + NPK),chaud,50
635,Sableux,Noiratre (Rich),Pluvial,14,Nul,froid,15
636,Limoneux,Brun-Grisatre,Irrigue (Continu),5,Nul,tres froid,10
637,Limoneux,Noiratre (Rich),Irrigue (Continu),19,Fort (Zezika + NPK),humide,50
638,Argileux (Madity),Noiratre (Rich),Pluvial,14,Moyen (Zezika Omby),très chaud,39
639,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),17,Moyen (Zezika Omby),humide,45
640,Limoneux,Brun-Grisatre,Irrigue (Continu),16,Fort (Zezika + NPK),froid,32
641,Limoneux,Noiratre (Rich),Irrigue (Continu),17,Moyen (Zezika Omby),très chaud,49
642,Limoneux,Brun-Grisatre,Irrigue (Continu),7,Fort (Zezika + NPK),très chaud,22
643,Sableux,Brun-Grisatre,Irrigue (Continu),15,Moyen (Zezika Omby),humide,36
644,Limoneux,Brun-Grisatre,Irrigue (Continu),6,Fort (Zezika + NPK),chaud,44
645,Argileux (Madity),Noiratre (Rich),Pluvial,10,Moyen (Zezika Omby),froid,25
646,Limoneux,Orange / Rouge,Irrigue (Continu),8,Moyen (Zezika Omby),froid,35
647,Limoneux,Brun-Grisatre,Pluvial,15,Fort (Zezika + NPK),très chaud,32
648,Limoneux,Orange / Rouge,Pluvial,12,Nul,chaud,15
649,Sableux,Brun-Grisatre,Irrigue (Continu),10,Moyen (Zezika Omby),chaud,32
650,Sableux,Brun-Grisatre,Irrigue (Continu),20,Nul,chaud,37
651,Limoneux,Brun-Grisatre,Pluvial,16,Nul,froid,50
652,Limoneux,Orange / Rouge,Pluvial,5,Moyen (Zezika Omby),humide,10
653,Limoneux,Orange / Rouge,Pluvial,8,Fort (Zezika + NPK),très chaud,15
654,Limoneux,Noiratre (Rich),Irrigue (Continu),13,Nul,chaud,42
655,Sableux,Orange / Rouge,Pluvial,13,Nul,très chaud,10
656,Argileux (Madity),Orange / Rouge,Irrigue (Continu),10,Fort (Zezika + NPK),humide,39
657,Limoneux,Orange / Rouge,Pluvial,19,Nul,chaud,27
658,Argileux (Madity),Noiratre (Rich),Pluvial,20,Nul,froid,29
659,Limoneux,Noiratre (Rich),Irrigue (Continu),8,Fort (Zezika + NPK),froid,35
660,Sableux,Orange / Rouge,Pluvial,16,Nul,tres froid,10
661,Sableux,Orange / Rouge,Pluvial,10,Moyen (Zezika Omby),humide,12
662,Argileux (Madity),Brun-Grisatre,Pluvial,19,Fort (Zezika + NPK),froid,30
663,Sableux,Brun-Grisatre,Pluvial,9,Nul,froid,10
664,Sableux,Orange / Rouge,Pluvial,13,Nul,froid,10
665,Argileux (Madity),Orange / Rouge,Irrigue (Continu),16,Fort (Zezika + NPK),froid,43
666,Sableux,Orange / Rouge,Irrigue (Continu),9,Fort (Zezika + NPK),chaud,42
667,Limoneux,Noiratre (Rich),Irrigue (Continu),8,Nul,humide,26
668,Argileux (Madity),Orange / Rouge,Pluvial,10,Fort (Zezika + NPK),très chaud,31
669,Sableux,Brun-Grisatre,Pluvial,9,Moyen (Zezika Omby),très chaud,17
670,Limoneux,Noiratre (Rich),Irrigue (Continu),5,Fort (Zezika + NPK),chaud,50
671,Sableux,Noiratre (Rich),Irrigue (Continu),16,Moyen (Zezika Omby),froid,32
672,Argileux (Madity),Noiratre (Rich),Pluvial,19,Nul,très chaud,24
673,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),15,Moyen (Zezika Omby),froid,45
674,Argileux (Madity),Noiratre (Rich),Pluvial,7,Fort (Zezika + NPK),tres froid,23
675,Limoneux,Orange / Rouge,Pluvial,16,Nul,froid,10
676,Limoneux,Noiratre (Rich),Pluvial,7,Nul,humide,10
677,Limoneux,Noiratre (Rich),Pluvial,13,Moyen (Zezika Omby),tres froid,15
678,Sableux,Brun-Grisatre,Pluvial,16,Moyen (Zezika Omby),très chaud,18
679,Argileux (Madity),Orange / Rouge,Irrigue (Continu),19,Fort (Zezika + NPK),très chaud,40
680,Argileux (Madity),Noiratre (Rich),Pluvial,11,Moyen (Zezika Omby),humide,37
681,Sableux,Brun-Grisatre,Irrigue (Continu),8,Fort (Zezika + NPK),très chaud,31
682,Sableux,Noiratre (Rich),Pluvial,11,Moyen (Zezika Omby),tres froid,13
683,Argileux (Madity),Orange / Rouge,Irrigue (Continu),11,Moyen (Zezika Omby),froid,33
684,Limoneux,Noiratre (Rich),Pluvial,7,Nul,tres froid,10
685,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),12,Fort (Zezika + NPK),froid,39
686,Limoneux,Orange / Rouge,Irrigue (Continu),20,Moyen (Zezika Omby),froid,38
687,Limoneux,Orange / Rouge,Pluvial,18,Fort (Zezika + NPK),froid,24
688,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),20,Moyen (Zezika Omby),chaud,50
689,Limoneux,Orange / Rouge,Irrigue (Continu),20,Nul,très chaud,22
690,Sableux,Brun-Grisatre,Pluvial,8,Nul,très chaud,10
691,Sableux,Brun-Grisatre,Pluvial,7,Nul,très chaud,10
692,Argileux (Madity),Orange / Rouge,Pluvial,7,Moyen (Zezika Omby),tres froid,10
693,Argileux (Madity),Orange / Rouge,Irrigue (Continu),12,Fort (Zezika + NPK),très chaud,37
694,Argileux (Madity),Brun-Grisatre,Pluvial,18,Nul,humide,32
695,Limoneux,Brun-Grisatre,Irrigue (Continu),7,Fort (Zezika + NPK),froid,24
696,Argileux (Madity),Orange / Rouge,Pluvial,15,Fort (Zezika + NPK),tres froid,28
697,Limoneux,Noiratre (Rich),Irrigue (Continu),14,Nul,humide,34
698,Limoneux,Orange / Rouge,Irrigue (Continu),11,Fort (Zezika + NPK),humide,32
699,Sableux,Brun-Grisatre,Irrigue (Continu),20,Nul,tres froid,12
700,Argileux (Madity),Orange / Rouge,Pluvial,10,Fort (Zezika + NPK),froid,19
701,Limoneux,Noiratre (Rich),Pluvial,13,Fort (Zezika + NPK),chaud,44
702,Argileux (Madity),Orange / Rouge,Irrigue (Continu),13,Moyen (Zezika Omby),chaud,50
703,Argileux (Madity),Noiratre (Rich),Pluvial,6,Nul,tres froid,12
704,Argileux (Madity),Brun-Grisatre,Pluvial,13,Fort (Zezika + NPK),humide,31
705,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),10,Nul,chaud,50
706,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),10,Nul,chaud,49
707,Limoneux,Orange / Rouge,Irrigue (Continu),6,Moyen (Zezika Omby),très chaud,28
708,Argileux (Madity),Noiratre (Rich),Pluvial,8,Fort (Zezika + NPK),chaud,43
709,Limoneux,Noiratre (Rich),Pluvial,10,Moyen (Zezika Omby),humide,26
710,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),18,Nul,froid,37
711,Argileux (Madity),Brun-Grisatre,Pluvial,7,Moyen (Zezika Omby),humide,15
712,Limoneux,Brun-Grisatre,Pluvial,12,Fort (Zezika + NPK),froid,29
713,Limoneux,Brun-Grisatre,Pluvial,8,Moyen (Zezika Omby),humide,19
714,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),17,Moyen (Zezika Omby),tres froid,37
715,Sableux,Brun-Grisatre,Irrigue (Continu),20,Moyen (Zezika Omby),humide,31
716,Sableux,Brun-Grisatre,Pluvial,15,Nul,très chaud,10
717,Argileux (Madity),Orange / Rouge,Pluvial,5,Nul,froid,10
718,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),16,Fort (Zezika + NPK),humide,41
719,Argileux (Madity),Orange / Rouge,Irrigue (Continu),16,Fort (Zezika + NPK),humide,14
720,Limoneux,Brun-Grisatre,Pluvial,16,Moyen (Zezika Omby),humide,28
721,Argileux (Madity),Orange / Rouge,Irrigue (Continu),16,Fort (Zezika + NPK),froid,39
722,Sableux,Brun-Grisatre,Irrigue (Continu),12,Nul,humide,18
723,Argileux (Madity),Orange / Rouge,Irrigue (Continu),12,Fort (Zezika + NPK),froid,46
724,Limoneux,Brun-Grisatre,Pluvial,12,Fort (Zezika + NPK),humide,31
725,Argileux (Madity),Orange / Rouge,Pluvial,19,Fort (Zezika + NPK),chaud,47
726,Limoneux,Brun-Grisatre,Pluvial,9,Moyen (Zezika Omby),très chaud,26
727,Argileux (Madity),Noiratre (Rich),Pluvial,8,Moyen (Zezika Omby),tres froid,19
728,Limoneux,Noiratre (Rich),Irrigue (Continu),14,Fort (Zezika + NPK),tres froid,37
729,Sableux,Orange / Rouge,Irrigue (Continu),16,Moyen (Zezika Omby),humide,26
730,Limoneux,Orange / Rouge,Irrigue (Continu),8,Fort (Zezika + NPK),humide,40
731,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),15,Fort (Zezika + NPK),très chaud,48
732,Limoneux,Brun-Grisatre,Pluvial,13,Moyen (Zezika Omby),très chaud,38
733,Sableux,Orange / Rouge,Pluvial,14,Fort (Zezika + NPK),humide,23
734,Argileux (Madity),Orange / Rouge,Pluvial,13,Moyen (Zezika Omby),froid,27
735,Sableux,Noiratre (Rich),Irrigue (Continu),6,Moyen (Zezika Omby),très chaud,19
736,Argileux (Madity),Brun-Grisatre,Pluvial,15,Nul,très chaud,32
737,Sableux,Orange / Rouge,Irrigue (Continu),14,Moyen (Zezika Omby),très chaud,25
738,Sableux,Noiratre (Rich),Irrigue (Continu),5,Moyen (Zezika Omby),très chaud,19
739,Limoneux,Noiratre (Rich),Pluvial,13,Moyen (Zezika Omby),très chaud,50
740,Limoneux,Noiratre (Rich),Pluvial,15,Moyen (Zezika Omby),très chaud,22
741,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),13,Nul,chaud,50
742,Sableux,Noiratre (Rich),Pluvial,13,Moyen (Zezika Omby),froid,10
743,Limoneux,Orange / Rouge,Pluvial,11,Fort (Zezika + NPK),très chaud,31
744,Argileux (Madity),Noiratre (Rich),Pluvial,9,Nul,très chaud,38
745,Argileux (Madity),Orange / Rouge,Irrigue (Continu),17,Fort (Zezika + NPK),très chaud,50
746,Argileux (Madity),Brun-Grisatre,Pluvial,6,Moyen (Zezika Omby),très chaud,32
747,Limoneux,Noiratre (Rich),Pluvial,14,Fort (Zezika + NPK),humide,21
748,Sableux,Noiratre (Rich),Irrigue (Continu),8,Moyen (Zezika Omby),tres froid,14
749,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),15,Nul,chaud,50
750,Limoneux,Noiratre (Rich),Pluvial,5,Fort (Zezika + NPK),tres froid,16
751,Argileux (Madity),Brun-Grisatre,Pluvial,16,Moyen (Zezika Omby),très chaud,37
752,Limoneux,Noiratre (Rich),Pluvial,9,Nul,tres froid,18
753,Sableux,Orange / Rouge,Pluvial,6,Fort (Zezika + NPK),froid,10
754,Argileux (Madity),Orange / Rouge,Irrigue (Continu),17,Fort (Zezika + NPK),humide,49
755,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),18,Nul,chaud,46
756,Sableux,Orange / Rouge,Irrigue (Continu),18,Fort (Zezika + NPK),froid,25
757,Sableux,Orange / Rouge,Irrigue (Continu),19,Fort (Zezika + NPK),chaud,48
758,Sableux,Brun-Grisatre,Pluvial,13,Fort (Zezika + NPK),chaud,44
759,Argileux (Madity),Noiratre (Rich),Pluvial,15,Nul,humide,25
760,Sableux,Orange / Rouge,Irrigue (Continu),6,Moyen (Zezika Omby),chaud,35
761,Argileux (Madity),Brun-Grisatre,Pluvial,13,Moyen (Zezika Omby),humide,41
762,Sableux,Noiratre (Rich),Irrigue (Continu),15,Nul,froid,31
763,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),17,Moyen (Zezika Omby),tres froid,33
764,Limoneux,Orange / Rouge,Pluvial,15,Fort (Zezika + NPK),très chaud,28
765,Limoneux,Brun-Grisatre,Irrigue (Continu),17,Moyen (Zezika Omby),tres froid,25
766,Argileux (Madity),Noiratre (Rich),Pluvial,14,Moyen (Zezika Omby),humide,33
767,Argileux (Madity),Orange / Rouge,Pluvial,14,Fort (Zezika + NPK),humide,34
768,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),12,Moyen (Zezika Omby),chaud,50
769,Limoneux,Orange / Rouge,Irrigue (Continu),12,Nul,humide,17
770,Limoneux,Noiratre (Rich),Irrigue (Continu),6,Moyen (Zezika Omby),très chaud,22
771,Sableux,Noiratre (Rich),Pluvial,13,Fort (Zezika + NPK),tres froid,16
772,Limoneux,Noiratre (Rich),Irrigue (Continu),9,Moyen (Zezika Omby),humide,26
773,Sableux,Noiratre (Rich),Pluvial,12,Fort (Zezika + NPK),humide,21
774,Sableux,Noiratre (Rich),Pluvial,16,Fort (Zezika + NPK),chaud,42
775,Sableux,Noiratre (Rich),Pluvial,14,Moyen (Zezika Omby),tres froid,16
776,Argileux (Madity),Orange / Rouge,Irrigue (Continu),9,Fort (Zezika + NPK),chaud,50
777,Limoneux,Brun-Grisatre,Irrigue (Continu),12,Moyen (Zezika Omby),tres froid,28
778,Limoneux,Orange / Rouge,Pluvial,18,Nul,froid,10
779,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),18,Fort (Zezika + NPK),humide,47
780,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),15,Nul,humide,50
781,Sableux,Noiratre (Rich),Irrigue (Continu),17,Fort (Zezika + NPK),froid,34
782,Sableux,Brun-Grisatre,Pluvial,9,Moyen (Zezika Omby),chaud,48
783,Sableux,Noiratre (Rich),Irrigue (Continu),5,Moyen (Zezika Omby),froid,13
784,Argileux (Madity),Brun-Grisatre,Pluvial,9,Nul,froid,19
785,Limoneux,Brun-Grisatre,Pluvial,7,Fort (Zezika + NPK),tres froid,10
786,Argileux (Madity),Orange / Rouge,Irrigue (Continu),11,Moyen (Zezika Omby),froid,33
787,Limoneux,Orange / Rouge,Pluvial,10,Fort (Zezika + NPK),très chaud,35
788,Argileux (Madity),Brun-Grisatre,Pluvial,12,Fort (Zezika + NPK),chaud,50
789,Limoneux,Noiratre (Rich),Pluvial,11,Nul,humide,26
790,Sableux,Noiratre (Rich),Pluvial,5,Fort (Zezika + NPK),humide,10
791,Limoneux,Orange / Rouge,Pluvial,16,Moyen (Zezika Omby),humide,24
792,Sableux,Brun-Grisatre,Pluvial,5,Moyen (Zezika Omby),tres froid,10
793,Limoneux,Brun-Grisatre,Irrigue (Continu),8,Nul,froid,20
794,Limoneux,Orange / Rouge,Irrigue (Continu),14,Fort (Zezika + NPK),chaud,46
795,Sableux,Brun-Grisatre,Irrigue (Continu),14,Moyen (Zezika Omby),tres froid,17
796,Limoneux,Brun-Grisatre,Pluvial,17,Nul,très chaud,12
797,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),9,Nul,froid,28
798,Limoneux,Orange / Rouge,Pluvial,19,Fort (Zezika + NPK),froid,24
799,Argileux (Madity),Orange / Rouge,Pluvial,15,Nul,tres froid,10
800,Sableux,Noiratre (Rich),Irrigue (Continu),12,Fort (Zezika + NPK),froid,33
801,Sableux,Noiratre (Rich),Pluvial,11,Moyen (Zezika Omby),très chaud,14
802,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),17,Moyen (Zezika Omby),tres froid,33
803,Limoneux,Orange / Rouge,Pluvial,12,Moyen (Zezika Omby),chaud,34
804,Limoneux,Orange / Rouge,Pluvial,5,Nul,humide,10
805,Limoneux,Brun-Grisatre,Irrigue (Continu),14,Nul,tres froid,18
806,Sableux,Orange / Rouge,Pluvial,12,Nul,froid,10
807,Argileux (Madity),Brun-Grisatre,Pluvial,9,Moyen (Zezika Omby),tres froid,19
808,Limoneux,Brun-Grisatre,Pluvial,5,Moyen (Zezika Omby),tres froid,10
809,Argileux (Madity),Noiratre (Rich),Pluvial,13,Fort (Zezika + NPK),très chaud,43
810,Limoneux,Orange / Rouge,Pluvial,18,Nul,chaud,29
811,Sableux,Orange / Rouge,Pluvial,9,Moyen (Zezika Omby),chaud,30
812,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),14,Fort (Zezika + NPK),humide,50
813,Sableux,Noiratre (Rich),Irrigue (Continu),10,Nul,humide,28
814,Argileux (Madity),Orange / Rouge,Irrigue (Continu),20,Moyen (Zezika Omby),chaud,50
815,Limoneux,Noiratre (Rich),Pluvial,8,Moyen (Zezika Omby),très chaud,29
816,Limoneux,Orange / Rouge,Irrigue (Continu),20,Moyen (Zezika Omby),tres froid,17
817,Argileux (Madity),Orange / Rouge,Irrigue (Continu),20,Nul,chaud,32
818,Argileux (Madity),Orange / Rouge,Irrigue (Continu),15,Nul,humide,33
819,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),13,Fort (Zezika + NPK),froid,49
820,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),11,Nul,très chaud,25
821,Sableux,Brun-Grisatre,Irrigue (Continu),11,Moyen (Zezika Omby),tres froid,15
822,Sableux,Brun-Grisatre,Irrigue (Continu),12,Moyen (Zezika Omby),très chaud,31
823,Argileux (Madity),Brun-Grisatre,Pluvial,7,Nul,très chaud,14
824,Sableux,Noiratre (Rich),Irrigue (Continu),14,Fort (Zezika + NPK),chaud,41
825,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),17,Nul,tres froid,24
826,Sableux,Orange / Rouge,Irrigue (Continu),11,Moyen (Zezika Omby),tres froid,12
827,Argileux (Madity),Orange / Rouge,Pluvial,19,Nul,chaud,28
828,Sableux,Brun-Grisatre,Pluvial,10,Moyen (Zezika Omby),froid,10
829,Limoneux,Orange / Rouge,Pluvial,17,Fort (Zezika + NPK),froid,26
830,Argileux (Madity),Orange / Rouge,Pluvial,18,Fort (Zezika + NPK),très chaud,10
831,Limoneux,Orange / Rouge,Pluvial,8,Nul,froid,10
832,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),12,Fort (Zezika + NPK),chaud,48
833,Argileux (Madity),Brun-Grisatre,Pluvial,8,Fort (Zezika + NPK),très chaud,34
834,Limoneux,Noiratre (Rich),Pluvial,6,Nul,humide,10
835,Sableux,Brun-Grisatre,Irrigue (Continu),15,Fort (Zezika + NPK),chaud,28
836,Sableux,Orange / Rouge,Pluvial,14,Fort (Zezika + NPK),très chaud,21
837,Sableux,Orange / Rouge,Irrigue (Continu),14,Nul,froid,10
838,Sableux,Noiratre (Rich),Pluvial,6,Nul,chaud,12
839,Limoneux,Brun-Grisatre,Pluvial,18,Nul,très chaud,19
840,Sableux,Orange / Rouge,Irrigue (Continu),11,Moyen (Zezika Omby),humide,20
841,Argileux (Madity),Orange / Rouge,Pluvial,11,Fort (Zezika + NPK),très chaud,28
842,Limoneux,Brun-Grisatre,Irrigue (Continu),14,Nul,humide,27
843,Sableux,Noiratre (Rich),Irrigue (Continu),12,Fort (Zezika + NPK),chaud,45
844,Limoneux,Brun-Grisatre,Pluvial,11,Moyen (Zezika Omby),froid,24
845,Sableux,Noiratre (Rich),Irrigue (Continu),11,Fort (Zezika + NPK),très chaud,35
846,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),16,Fort (Zezika + NPK),humide,44
847,Limoneux,Orange / Rouge,Pluvial,18,Nul,chaud,21
848,Limoneux,Noiratre (Rich),Irrigue (Continu),19,Fort (Zezika + NPK),tres froid,37
849,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),16,Fort (Zezika + NPK),tres froid,38
850,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),13,Nul,très chaud,39
851,Argileux (Madity),Orange / Rouge,Pluvial,12,Fort (Zezika + NPK),froid,28
852,Argileux (Madity),Orange / Rouge,Irrigue (Continu),16,Fort (Zezika + NPK),chaud,50
853,Sableux,Noiratre (Rich),Irrigue (Continu),5,Nul,chaud,28
854,Argileux (Madity),Brun-Grisatre,Pluvial,20,Moyen (Zezika Omby),chaud,50
855,Sableux,Brun-Grisatre,Pluvial,13,Nul,chaud,16
856,Limoneux,Noiratre (Rich),Irrigue (Continu),8,Nul,humide,35
857,Limoneux,Orange / Rouge,Irrigue (Continu),14,Nul,humide,13
858,Limoneux,Brun-Grisatre,Pluvial,7,Moyen (Zezika Omby),tres froid,10
859,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),18,Moyen (Zezika Omby),tres froid,33
860,Sableux,Orange / Rouge,Pluvial,11,Moyen (Zezika Omby),très chaud,13
861,Limoneux,Noiratre (Rich),Irrigue (Continu),14,Fort (Zezika + NPK),tres froid,36
862,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),10,Nul,humide,34
863,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),12,Fort (Zezika + NPK),froid,32
864,Limoneux,Orange / Rouge,Pluvial,13,Moyen (Zezika Omby),humide,34
865,Sableux,Noiratre (Rich),Pluvial,16,Nul,tres froid,10
866,Sableux,Orange / Rouge,Irrigue (Continu),9,Moyen (Zezika Omby),chaud,40
867,Argileux (Madity),Noiratre (Rich),Pluvial,9,Nul,chaud,39
868,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),11,Fort (Zezika + NPK),humide,47
869,Argileux (Madity),Noiratre (Rich),Pluvial,9,Moyen (Zezika Omby),tres froid,21
870,Limoneux,Brun-Grisatre,Irrigue (Continu),19,Moyen (Zezika Omby),humide,42
871,Argileux (Madity),Noiratre (Rich),Pluvial,16,Nul,très chaud,26
872,Argileux (Madity),Orange / Rouge,Irrigue (Continu),11,Fort (Zezika + NPK),tres froid,28
873,Limoneux,Noiratre (Rich),Irrigue (Continu),19,Nul,humide,34
874,Limoneux,Orange / Rouge,Pluvial,20,Moyen (Zezika Omby),très chaud,28
875,Sableux,Noiratre (Rich),Irrigue (Continu),18,Moyen (Zezika Omby),humide,30
876,Sableux,Brun-Grisatre,Pluvial,7,Nul,froid,10
877,Argileux (Madity),Orange / Rouge,Irrigue (Continu),13,Fort (Zezika + NPK),tres froid,32
878,Argileux (Madity),Noiratre (Rich),Pluvial,12,Fort (Zezika + NPK),tres froid,26
879,Argileux (Madity),Orange / Rouge,Pluvial,6,Moyen (Zezika Omby),très chaud,17
880,Limoneux,Noiratre (Rich),Irrigue (Continu),5,Nul,chaud,33
881,Limoneux,Brun-Grisatre,Pluvial,9,Fort (Zezika + NPK),très chaud,28
882,Sableux,Noiratre (Rich),Pluvial,15,Fort (Zezika + NPK),chaud,47
883,Limoneux,Noiratre (Rich),Irrigue (Continu),6,Nul,froid,23
884,Limoneux,Noiratre (Rich),Irrigue (Continu),14,Fort (Zezika + NPK),très chaud,29
885,Limoneux,Noiratre (Rich),Irrigue (Continu),14,Fort (Zezika + NPK),froid,28
886,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),19,Fort (Zezika + NPK),chaud,50
887,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),20,Nul,froid,42
888,Argileux (Madity),Noiratre (Rich),Pluvial,16,Nul,tres froid,14
889,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),13,Moyen (Zezika Omby),chaud,50
890,Limoneux,Noiratre (Rich),Irrigue (Continu),11,Nul,humide,21
891,Limoneux,Orange / Rouge,Pluvial,13,Moyen (Zezika Omby),humide,28
892,Argileux (Madity),Orange / Rouge,Irrigue (Continu),16,Moyen (Zezika Omby),tres froid,32
893,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),13,Fort (Zezika + NPK),tres froid,40
894,Sableux,Orange / Rouge,Irrigue (Continu),17,Fort (Zezika + NPK),humide,31
895,Argileux (Madity),Orange / Rouge,Pluvial,5,Nul,chaud,21
896,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),20,Fort (Zezika + NPK),très chaud,38
897,Argileux (Madity),Brun-Grisatre,Pluvial,10,Nul,tres froid,10
898,Sableux,Orange / Rouge,Pluvial,8,Fort (Zezika + NPK),humide,21
899,Sableux,Orange / Rouge,Pluvial,13,Nul,tres froid,10
900,Limoneux,Brun-Grisatre,Pluvial,16,Moyen (Zezika Omby),chaud,49
901,Argileux (Madity),Brun-Grisatre,Pluvial,11,Fort (Zezika + NPK),tres froid,14
902,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),15,Nul,chaud,47
903,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),14,Moyen (Zezika Omby),tres froid,36
904,Limoneux,Brun-Grisatre,Pluvial,9,Nul,tres froid,10
905,Sableux,Orange / Rouge,Irrigue (Continu),7,Moyen (Zezika Omby),humide,21
906,Limoneux,Orange / Rouge,Irrigue (Continu),17,Nul,tres froid,10
907,Argileux (Madity),Brun-Grisatre,Pluvial,20,Nul,froid,27
908,Limoneux,Noiratre (Rich),Pluvial,6,Moyen (Zezika Omby),humide,16
909,Argileux (Madity),Orange / Rouge,Irrigue (Continu),17,Nul,chaud,44
910,Argileux (Madity),Noiratre (Rich),Pluvial,8,Moyen (Zezika Omby),froid,27
911,Argileux (Madity),Orange / Rouge,Irrigue (Continu),13,Moyen (Zezika Omby),très chaud,43
912,Sableux,Orange / Rouge,Irrigue (Continu),15,Nul,chaud,22
913,Argileux (Madity),Brun-Grisatre,Pluvial,10,Nul,tres froid,17
914,Sableux,Orange / Rouge,Irrigue (Continu),15,Nul,froid,16
915,Limoneux,Noiratre (Rich),Irrigue (Continu),9,Moyen (Zezika Omby),très chaud,39
916,Limoneux,Brun-Grisatre,Pluvial,18,Fort (Zezika + NPK),chaud,38
917,Sableux,Brun-Grisatre,Pluvial,7,Moyen (Zezika Omby),humide,10
918,Sableux,Noiratre (Rich),Pluvial,5,Fort (Zezika + NPK),chaud,28
919,Limoneux,Noiratre (Rich),Pluvial,19,Moyen (Zezika Omby),tres froid,23
920,Limoneux,Brun-Grisatre,Pluvial,10,Nul,froid,17
921,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),17,Fort (Zezika + NPK),froid,42
922,Limoneux,Noiratre (Rich),Pluvial,7,Nul,très chaud,13
923,Argileux (Madity),Brun-Grisatre,Pluvial,8,Fort (Zezika + NPK),humide,29
924,Sableux,Orange / Rouge,Irrigue (Continu),7,Nul,tres froid,10
925,Argileux (Madity),Noiratre (Rich),Pluvial,18,Fort (Zezika + NPK),froid,36
926,Limoneux,Noiratre (Rich),Irrigue (Continu),10,Fort (Zezika + NPK),froid,36
927,Limoneux,Brun-Grisatre,Pluvial,15,Fort (Zezika + NPK),froid,27
928,Sableux,Noiratre (Rich),Irrigue (Continu),13,Fort (Zezika + NPK),tres froid,33
929,Limoneux,Orange / Rouge,Irrigue (Continu),15,Moyen (Zezika Omby),humide,29
930,Sableux,Brun-Grisatre,Pluvial,15,Nul,froid,13
931,Sableux,Brun-Grisatre,Pluvial,5,Nul,humide,10
932,Sableux,Brun-Grisatre,Irrigue (Continu),18,Moyen (Zezika Omby),très chaud,35
933,Sableux,Noiratre (Rich),Pluvial,12,Fort (Zezika + NPK),humide,24
934,Sableux,Brun-Grisatre,Irrigue (Continu),17,Nul,froid,10
935,Sableux,Brun-Grisatre,Irrigue (Continu),15,Nul,chaud,26
936,Sableux,Orange / Rouge,Irrigue (Continu),16,Moyen (Zezika Omby),froid,26
937,Sableux,Brun-Grisatre,Irrigue (Continu),11,Moyen (Zezika Omby),chaud,42
938,Argileux (Madity),Orange / Rouge,Pluvial,7,Moyen (Zezika Omby),froid,12
939,Sableux,Orange / Rouge,Pluvial,12,Moyen (Zezika Omby),tres froid,10
940,Limoneux,Orange / Rouge,Pluvial,10,Fort (Zezika + NPK),humide,19
941,Sableux,Orange / Rouge,Pluvial,15,Fort (Zezika + NPK),tres froid,10
